,listing_url,source,name,neighborhood_overview
0,https://www.airbnb.com/rooms/36690,city scrape,Mo's Cozy Cabana,"The cabana is just a moments walk to 'The Split', where the island is split in two and which is the most popular spot for swimming, snorkeling or to have a drink at the famous bar 'the Lazy Lizard'. The main street -Front Street- is right around the corner. Here you'll find several restaurants, supermarkets, souvenir shops and food- and fruit stands. The many local people you meet are always in for a chat. The part of the island where the cabana is located is only 100 yards wide so the sea & beach are always nearby."
1,https://www.airbnb.com/rooms/120115,city scrape,"Seaside Villas 4 2nd Flr - Pool, Beach, Jacuzzi","Right on the beach, this building is in a prime location just one block south of the Caribbean Sprinter Water taxi and another half a block from the San Pedro Water Taxi. The shops, bars and restaurants are all close by on Front Street just to the west. The entrance for the Building is on the side - Adventurer Street. Easy to find on a map app."
2,https://www.airbnb.com/rooms/120116,city scrape,Valarosa - Sweet cottage,"Valarosa is on Avenida Chechem in a popular residential area which is generally quiet, though not immune to the sounds of village life. You might hear distant music, or animal noises. Nearby is the Suggestion Gourmet french bakery. In the morning you may hear a man on a bicycle cart tooting his horn - he sells a mound of hot fresh corn tortilla for BZ$2.50. Two blocks away is the small Caye Caulker airstrip which takes light aircraft."
3,https://www.airbnb.com/rooms/152512,city scrape,"Toucan-kit, ac, wifi, bike, tropical gardens, pool","LOVE this area of Placencia; quiet, day & night, secure, short walk to beautiful beach as well as local shops & restaurants."
4,https://www.airbnb.com/rooms/152922,city scrape,rent a private room in a house,"Quiet neighbourhood, close to shopping centre, restaurants and market."
5,https://www.airbnb.com/rooms/171294,previous scrape,King Deluxe,5 minutes walk to center of town<br /><br />Branch Mouth where the two rivers meet 15 minute walk<br /><br />You can also rent golf carts by the hour to drive around the town.
6,https://www.airbnb.com/rooms/171301,city scrape,Cabana in a Rainforest Setting,We have 2 Restaurants nearby Guava Limb and Hodes also we have a community park on the corner
7,https://www.airbnb.com/rooms/254291,city scrape,Finca Placencia oceanfront Private Beach House,"Location location location. Walk next door to Francis Ford Coppola's turtle inn where they have a lovely romantic restaurant with wood fired pizza. Just north of us are a few excellent restaurants as well. Another great Italian restaurant in Los porticos villas and further down the beach, mariposa serving 3 meals a day"
8,https://www.airbnb.com/rooms/261882,city scrape,Finca Placencia Beachfront treetop cabana,Finca is located next to Turtle Inn on 200 feet of beachfront.<br /> I chose to settle in Placencia because I fell in love with the village which has a tightly knit community and I did not feel like I stuck out as a gringo there. FInca is just a quick ride out of town so you have some privacy and still have easy access to the village.
9,https://www.airbnb.com/rooms/308361,city scrape,Villa San Juan,
10,https://www.airbnb.com/rooms/415419,city scrape,Triple Room for Group Travel,"This rental is centrally located just two blocks from the George Price Center of Peace and Development, a Shopping Center, laundromat, eateries, vegetable market and corner shop.  Public transport is a stone's throw away.  Belmopan is centrally located in Belize, with public buses to the north, south, east and west.  Belmopan is home to the national university and is the seat of government.  Everything, including schools, medical facilities, banks, parks, tennis and basketball courts, are within walking or biking distance."
11,https://www.airbnb.com/rooms/419134,city scrape,"Stay on a Maya Site, 100 Acres Jungle, by ATM Cave",Our village is small (pop. 1000) but lively (6 bars & 6 churches).  But Lower Dover is on the fringe of town & secluded & quiet.   The neighbors you'll see will all be wild animals & birds since we are surrounded by jungle and waterways.
12,https://www.airbnb.com/rooms/580189,city scrape,Howler House: A romantic riverside treehouse,"Burrell Boom is a lovely little rural village along the banks of the Old Belize river. The people here are extremely friendly. If you walk up to the village and stop for some food at Miss Carol's, a cold beer at Yellow Man's pub - right next door, you will be enchanted by this little village. If you want to do some Reggie dancing, head down to Henderson's Bank on Friday or Saturday night, just follow the music -- you can walk, but bring the flashlight! Everyone will welcome you. This is a small friendly village and I hope you will have the opportunity to meet and enjoy the company and food of the local people - they are wonderful. The Black Orchid is a 15 minute walk down a lovely rural road. Or, a ten minute bike ride - the house has two bikes, And, once you arrive, you can have a cool drink and slip into the pool: ahhhhhh. They will treat you like gold, slowly."
13,https://www.airbnb.com/rooms/591211,city scrape,Casa Belize - Cozy Studio Apartment,"This neighborhood is made up of mainly professional, upper middle class families. It is very quiet, and a welcome escape from the bustling, noisy city life."
